solicitud_id,usuarios_afectados,incidencias_reportadas,complejidad_servicio,horas_estimadas,cambios_recientes,canales_involucrados,tiempo_atencion_horas,costo_atencion_usd
SRV-0053,91,5,2,3.21,0,2,3.57,463.14
SRV-0054,13,9,3,3.88,0,1,7.09,682.39
SRV-0055,61,7,2,2.37,0,2,5.07,536.05
SRV-0056,23,6,2,3.08,0,1,5.3,416.42
SRV-0057,56,8,1,2.6,0,1,3.93,490.63
SRV-0058,56,5,2,2.66,1,3,4.78,447.42
SRV-0059,112,8,2,3.32,1,3,6.24,553.9
SRV-0060,97,6,1,3.06,1,2,3.87,375.02
SRV-0061,54,5,5,5.39,0,2,7.99,726.01
SRV-0062,64,5,2,2.07,0,1,3.89,375.59
SRV-0063,114,7,4,4.1,0,2,5.21,705.97
SRV-0064,25,3,3,3.24,0,4,3.93,446.69
SRV-0065,64,6,2,2.34,0,1,3.6,357.46
SRV-0066,161,7,4,4.31,0,2,6.03,786.76
SRV-0067,33,6,2,3.11,1,3,5.72,413.38
SRV-0068,46,9,3,3.91,1,1,7.89,719.09
SRV-0069,64,6,1,2.63,0,3,4.12,342.15
SRV-0070,82,7,5,5.35,0,3,7.75,822.43
SRV-0071,116,4,2,2.74,0,3,2.65,447.84
SRV-0072,80,8,2,3.06,0,4,6.28,499.7
SRV-0073,18,7,4,4.18,0,3,7.08,724.43
SRV-0074,111,8,3,3.14,0,1,5.24,627.78
SRV-0075,75,5,2,3.7,0,4,2.54,389.23
SRV-0076,37,6,3,3.16,0,4,6.03,528.57
SRV-0077,100,8,4,4.12,0,4,7.0,734.21
SRV-0078,273,11,4,6.08,0,2,8.16,996.82
SRV-0079,26,11,3,3.71,1,2,8.41,701.81
SRV-0080,20,7,3,4.44,1,1,5.89,681.64
SRV-0081,116,7,2,3.85,1,2,4.6,585.57
SRV-0082,42,3,3,3.57,0,4,3.63,403.06
SRV-0083,39,10,3,3.09,0,1,6.88,720.28
SRV-0084,56,6,5,5.36,1,2,6.12,745.71
SRV-0085,147,9,4,3.74,0,4,8.01,879.08
SRV-0086,83,4,2,3.04,1,4,4.67,416.27
SRV-0087,53,8,2,3.53,0,3,4.8,530.73
SRV-0088,154,7,3,4.54,0,4,6.31,614.93
SRV-0089,96,5,4,4.11,0,3,3.84,633.12
SRV-0090,148,4,5,4.9,1,2,5.95,790.04
SRV-0091,59,6,2,3.12,0,3,4.83,438.35
SRV-0092,80,7,4,3.76,0,2,5.89,769.37
SRV-0093,25,5,2,2.85,0,2,3.61,319.86
SRV-0094,46,6,3,3.62,0,3,5.08,530.98
SRV-0095,67,4,3,3.0,1,3,4.77,578.79
SRV-0096,37,10,2,4.87,1,2,7.75,648.07
SRV-0097,48,5,5,3.95,0,2,5.45,660.17
SRV-0098,60,8,2,3.77,0,2,6.19,496.27
SRV-0099,59,7,2,2.45,0,3,5.64,402.67
SRV-0100,80,3,4,2.45,0,1,5.09,434.28
SRV-0101,31,9,2,4.36,1,4,6.63,575.21
SRV-0102,41,6,1,2.09,0,2,2.71,315.92
SRV-0103,123,4,3,2.19,0,3,4.52,409.91
SRV-0104,35,7,4,4.93,1,4,6.54,727.83
SRV-0105,67,3,4,3.3,0,4,5.24,572.7
SRV-0106,81,4,2,2.27,0,2,4.49,340.12
SRV-0107,40,3,4,4.78,1,4,5.71,619.33
SRV-0108,50,5,2,2.88,0,1,4.83,323.4
SRV-0109,77,6,2,3.41,0,3,4.46,500.42
SRV-0110,119,7,3,2.96,0,1,5.79,615.7
SRV-0111,29,6,2,3.39,1,1,5.5,485.67
SRV-0112,220,6,2,2.56,0,2,4.19,540.04
SRV-0113,102,5,4,4.41,1,2,5.2,680.34
SRV-0114,40,5,4,3.37,0,1,5.13,590.64
SRV-0115,71,9,3,3.74,0,2,6.09,708.29
SRV-0116,70,5,5,3.5,0,3,6.75,681.01
SRV-0117,89,5,3,3.19,0,2,5.87,470.26
SRV-0118,109,4,4,2.8,0,4,5.47,563.37
SRV-0119,64,7,2,3.26,0,3,3.62,500.59
SRV-0120,26,6,3,3.5,0,2,4.92,530.87
SRV-0121,31,6,1,2.25,0,3,4.02,271.42
SRV-0122,155,8,3,3.19,0,2,5.52,683.55
SRV-0123,75,1,3,3.73,1,3,2.55,409.77
SRV-0124,48,6,5,4.62,0,2,5.53,745.55
SRV-0125,112,5,2,2.13,0,3,2.94,446.72
SRV-0126,60,8,2,3.75,1,1,5.43,486.72
SRV-0127,269,9,4,5.17,0,2,7.69,929.2
SRV-0128,39,9,4,4.36,0,1,6.31,812.48
SRV-0129,17,6,2,3.36,0,2,2.88,427.51
SRV-0130,71,11,1,3.71,0,4,5.31,476.88
SRV-0131,69,8,4,4.2,0,3,6.06,774.89
SRV-0132,12,10,3,2.92,0,2,6.82,568.38
SRV-0133,41,5,3,2.91,0,4,4.76,463.14
SRV-0134,129,12,1,2.64,0,1,6.86,469.34
SRV-0135,143,5,3,3.35,0,4,4.32,565.8
SRV-0136,175,3,3,3.34,0,1,2.61,392.16
SRV-0137,12,7,3,3.91,0,1,4.36,537.76
SRV-0138,120,7,4,5.12,1,3,6.07,768.82
SRV-0139,23,5,4,4.28,1,3,5.69,652.36
SRV-0140,76,6,3,3.46,0,1,5.44,546.65
SRV-0141,42,5,3,4.3,0,1,3.41,419.62
SRV-0142,49,6,4,3.99,1,3,6.48,719.44
SRV-0143,48,6,4,3.38,0,4,5.5,584.06
SRV-0144,14,5,3,4.29,1,3,4.96,567.47
SRV-0145,9,7,3,3.08,0,3,4.83,527.68
SRV-0146,45,2,3,2.86,0,1,2.94,353.13
SRV-0147,21,6,4,4.16,1,1,5.26,661.02
SRV-0148,76,5,4,3.88,0,4,5.68,580.34
SRV-0149,129,8,3,3.3,0,3,6.26,633.78
SRV-0150,19,5,4,3.92,1,3,4.8,651.23
SRV-0151,75,6,5,4.15,0,4,5.95,861.07
SRV-0152,12,12,3,4.91,0,1,8.94,757.94
SRV-0153,77,5,2,3.01,0,1,4.34,365.42
SRV-0154,47,7,4,4.26,0,1,6.61,666.91
SRV-0155,49,7,5,4.7,1,2,8.06,845.16
SRV-0156,135,4,2,2.63,1,1,5.08,478.01
SRV-0157,55,7,2,3.33,0,4,5.47,464.98
SRV-0158,74,6,3,3.17,0,3,5.74,510.04
SRV-0159,193,8,5,5.21,0,4,7.41,974.01
SRV-0160,34,8,3,4.1,0,3,5.56,608.55
SRV-0161,177,5,3,3.18,0,4,4.12,575.05
SRV-0162,19,10,3,4.4,1,3,7.86,793.88
SRV-0163,62,5,2,3.32,0,4,2.74,359.93
SRV-0164,26,6,2,3.61,0,1,3.47,496.47
SRV-0165,85,4,4,3.62,0,4,4.89,610.08
SRV-0166,650,11,2,4.76,0,1,7.2,687.5
SRV-0167,24,10,1,3.5,0,4,5.84,444.68
SRV-0168,27,4,2,2.58,0,3,3.63,338.99
SRV-0169,51,11,2,4.94,0,1,7.02,737.12
SRV-0170,55,8,3,5.41,0,2,7.06,636.05
SRV-0171,101,2,3,3.83,1,3,4.8,466.65
SRV-0172,83,7,2,3.1,0,1,4.43,515.46
SRV-0173,25,5,4,3.56,0,4,5.35,624.93
SRV-0174,126,10,2,4.72,0,1,7.04,534.48
SRV-0175,24,4,2,2.54,0,1,2.6,387.01
SRV-0176,43,4,3,3.56,0,4,4.16,523.25
SRV-0177,97,5,1,2.3,0,3,3.71,315.63
SRV-0178,37,6,2,3.07,0,2,5.74,408.13
SRV-0179,74,9,4,3.22,0,3,7.09,726.83
SRV-0180,147,5,3,3.0,0,1,4.81,476.24
SRV-0181,53,8,2,3.83,0,2,4.91,449.6
SRV-0182,328,6,2,3.95,0,3,4.53,507.49
SRV-0183,38,8,2,3.3,1,1,5.34,576.39
SRV-0184,29,6,2,3.37,1,2,5.79,481.72
SRV-0185,11,8,3,3.34,0,1,6.4,648.1
SRV-0186,47,6,3,4.45,0,1,5.23,598.88
SRV-0187,91,9,4,4.51,0,4,7.56,802.94
SRV-0188,110,4,4,3.84,0,1,4.29,523.7
SRV-0189,50,8,4,5.55,1,3,7.05,825.82
SRV-0190,114,8,2,4.1,1,1,5.62,505.07
SRV-0191,353,8,5,5.58,0,2,7.27,982.33
SRV-0192,75,4,4,4.12,1,3,4.38,599.04
SRV-0193,19,6,3,3.41,1,4,5.2,634.13
SRV-0194,59,6,2,3.07,0,4,5.38,403.97
SRV-0195,42,2,2,1.19,0,2,2.74,296.66
SRV-0196,20,6,4,4.46,0,3,5.34,712.84
SRV-0197,52,6,5,4.8,0,2,8.05,722.8
SRV-0198,29,6,4,3.46,0,3,6.5,736.23
SRV-0199,154,7,2,5.0,0,1,4.04,438.42
SRV-0200,21,8,5,5.1,1,4,8.43,989.27
SRV-0201,104,7,4,4.22,0,1,5.71,700.28
SRV-0202,92,8,4,5.1,0,1,6.2,826.09
SRV-0203,60,9,3,4.2,0,2,6.16,605.31
SRV-0204,232,4,2,3.77,0,1,3.93,481.73
SRV-0205,29,8,5,5.78,1,1,7.95,976.42
SRV-0206,74,13,3,5.76,1,1,8.52,870.44
SRV-0207,86,6,2,3.95,0,1,4.66,460.47
SRV-0208,43,6,1,2.74,0,3,3.04,480.99
SRV-0209,76,8,4,3.97,0,1,7.13,715.9
SRV-0210,44,6,3,3.28,0,2,5.5,564.21
SRV-0211,72,8,2,2.71,0,2,7.07,474.22
SRV-0212,206,5,4,4.67,0,3,5.09,663.89
SRV-0213,53,4,3,3.03,0,1,4.09,392.14
SRV-0214,94,4,2,3.15,0,4,3.46,377.9
SRV-0215,198,6,3,3.84,0,1,4.66,597.21
SRV-0216,89,8,5,4.38,0,4,7.14,951.2
SRV-0217,52,3,2,1.61,1,2,2.84,286.62
SRV-0218,38,7,4,4.8,1,2,7.28,718.51
SRV-0219,198,3,2,2.3,0,2,2.3,251.33
SRV-0220,27,10,4,5.08,0,1,8.26,946.66
SRV-0221,53,8,5,4.13,0,1,6.94,855.92
SRV-0222,46,7,4,4.5,0,1,6.49,718.9
SRV-0223,84,7,3,2.77,0,2,6.54,537.79
SRV-0224,40,7,3,3.81,0,1,4.82,599.67
SRV-0225,145,10,2,3.56,0,2,6.41,601.44
SRV-0226,72,8,1,3.13,1,2,4.95,494.06
SRV-0227,74,6,3,3.74,1,4,5.64,621.08
SRV-0228,42,5,3,3.96,0,3,4.83,408.47
SRV-0229,49,9,4,4.67,1,1,8.34,805.13
SRV-0230,154,7,4,3.58,0,3,5.48,781.06
SRV-0231,84,4,2,2.95,0,4,3.33,413.34
SRV-0232,131,8,3,3.45,0,4,6.19,640.01
SRV-0233,42,7,2,2.56,0,2,4.12,438.5
SRV-0234,76,8,4,4.11,0,2,7.01,776.17
SRV-0235,76,5,2,3.17,0,2,4.38,372.33
SRV-0236,10,7,4,4.67,1,1,5.78,743.17
SRV-0237,57,9,2,2.65,0,1,5.88,551.89
SRV-0238,132,6,4,4.42,1,1,7.76,705.78
SRV-0239,65,6,2,3.38,0,3,4.2,468.24
SRV-0240,183,5,4,4.21,1,4,5.14,662.56
SRV-0241,137,9,1,4.09,0,4,6.16,526.51
SRV-0242,33,6,1,1.81,1,1,4.07,303.72
SRV-0243,72,3,1,2.69,1,4,3.85,220.9
SRV-0244,174,9,4,4.47,0,1,7.96,813.78
SRV-0245,31,11,4,4.68,0,4,8.46,870.57
SRV-0246,127,5,3,3.63,0,2,6.01,531.03
SRV-0247,50,6,1,3.56,1,3,3.78,367.51
SRV-0248,20,5,1,2.81,1,2,4.63,285.13
SRV-0249,102,3,3,3.2,1,4,4.4,548.53
SRV-0250,128,4,4,3.6,0,1,6.04,553.93
SRV-0251,36,4,3,3.59,1,3,3.75,515.05
SRV-0252,57,7,5,4.68,1,2,8.07,877.91
SRV-0253,88,9,3,3.75,0,2,6.23,664.06
SRV-0254,29,4,5,3.39,0,4,5.66,683.87
SRV-0255,96,4,4,3.85,1,1,5.27,712.49
SRV-0256,165,6,5,3.69,0,4,4.73,767.45
SRV-0257,23,9,1,4.08,0,4,5.14,410.49
SRV-0258,89,9,3,4.9,1,1,7.2,701.64
SRV-0259,167,7,3,5.29,0,2,5.5,657.66
SRV-0260,31,9,3,3.05,0,1,6.86,630.04
SRV-0261,392,3,2,2.77,1,4,4.1,514.23
SRV-0262,24,2,2,2.56,0,4,1.94,291.1
SRV-0263,82,5,5,4.67,0,3,6.48,784.29
SRV-0264,37,9,2,3.09,0,2,6.59,466.03
SRV-0265,23,4,2,3.4,1,1,4.78,333.61
SRV-0266,11,11,3,4.93,0,4,7.71,828.38
SRV-0267,26,9,2,4.38,0,1,6.23,549.06
SRV-0268,192,5,1,2.97,1,4,4.8,408.2
SRV-0269,145,6,2,3.13,0,3,5.56,503.15
SRV-0270,42,6,3,4.68,1,4,6.02,510.89
SRV-0271,12,6,4,3.19,0,2,5.93,576.98
SRV-0272,29,8,2,4.53,0,3,6.11,563.71
SRV-0273,35,7,4,3.85,0,3,5.39,690.43
SRV-0274,74,8,4,4.99,0,3,6.79,751.97
SRV-0275,154,4,3,3.75,1,2,4.62,504.57
SRV-0276,40,4,4,3.45,0,2,4.0,536.14
SRV-0277,38,4,4,3.23,0,1,4.9,549.35
SRV-0278,105,9,4,4.64,0,3,6.53,815.81
SRV-0279,47,7,3,4.77,0,2,5.6,687.99
SRV-0280,26,5,3,3.26,0,4,4.09,451.93
SRV-0281,83,3,2,3.58,0,4,4.37,338.17
SRV-0282,55,6,2,3.38,0,4,5.13,522.68
SRV-0283,27,6,4,3.43,0,4,5.99,666.94
SRV-0284,64,12,4,5.38,0,3,7.91,955.87
SRV-0285,41,7,2,3.0,0,1,3.74,464.38
SRV-0286,229,8,1,3.57,1,4,5.25,427.87
SRV-0287,124,5,2,3.09,0,4,3.47,456.15
SRV-0288,41,9,5,6.62,1,1,7.79,1073.74
SRV-0289,172,4,3,3.68,0,2,4.66,453.18
SRV-0290,135,4,3,2.29,0,4,4.46,479.21
SRV-0291,24,8,5,4.89,0,3,7.69,845.63
SRV-0292,61,3,4,3.34,0,1,4.8,417.58
SRV-0293,28,2,2,2.77,0,4,2.06,332.71
SRV-0294,26,3,4,2.96,0,3,5.56,497.86
SRV-0295,73,9,2,3.14,0,2,5.42,523.46
SRV-0296,93,7,1,2.6,0,3,4.79,370.59
SRV-0297,41,5,3,2.96,0,2,5.02,401.52
SRV-0298,240,12,5,6.27,0,4,8.44,1094.76
SRV-0299,25,10,4,5.62,0,3,6.94,876.1
SRV-0300,26,2,3,2.13,0,4,4.73,360.16
SRV-0301,28,6,2,3.08,1,3,5.92,455.96
SRV-0302,106,10,4,5.09,0,4,6.96,888.36
SRV-0303,164,9,2,3.21,0,1,5.1,562.13
SRV-0304,29,5,2,4.19,1,1,5.14,364.0
SRV-0305,111,9,3,5.15,1,3,5.57,762.8
SRV-0306,43,7,3,4.42,1,1,5.04,679.21
SRV-0307,120,7,2,4.12,1,4,6.06,513.13
SRV-0308,254,8,3,3.96,1,2,7.62,575.2
SRV-0309,27,2,3,2.6,0,3,3.82,406.05
SRV-0310,80,7,2,4.66,1,2,4.07,540.76
SRV-0311,66,5,2,2.48,0,1,4.28,354.64
SRV-0312,92,7,4,4.9,1,2,7.02,708.61
SRV-0313,47,10,2,3.06,0,4,5.96,554.63
SRV-0314,89,13,3,4.99,0,1,8.93,849.19
SRV-0315,30,6,1,2.33,0,3,3.74,319.23
SRV-0316,168,6,3,3.78,0,2,4.64,617.84
SRV-0317,35,4,1,2.09,0,1,4.16,310.3
SRV-0318,42,6,5,4.09,1,4,7.87,789.69
SRV-0319,436,5,3,4.13,0,3,4.68,601.8
SRV-0320,85,4,4,3.49,0,4,4.52,613.05
SRV-0321,114,9,5,5.06,1,3,8.89,1031.0
SRV-0322,107,5,5,5.25,0,1,6.03,748.22
SRV-0323,58,9,4,3.77,0,3,8.3,847.11
SRV-0324,19,8,1,3.18,0,1,2.94,425.36
SRV-0325,12,5,3,3.15,1,4,5.22,516.39
SRV-0326,46,6,2,4.41,1,1,4.63,525.03
SRV-0327,241,8,4,4.64,0,2,6.54,784.78
SRV-0328,46,4,4,4.3,0,2,5.23,540.1
SRV-0329,74,9,2,3.65,0,4,6.1,534.73
SRV-0330,73,6,4,3.2,1,2,5.92,648.2
SRV-0331,139,9,3,4.9,0,3,6.3,663.58
SRV-0332,42,8,3,2.86,0,2,5.45,520.23
SRV-0333,22,5,2,3.5,0,3,3.39,446.28
SRV-0334,75,4,5,3.27,1,3,5.14,669.84
SRV-0335,28,3,1,1.96,0,4,1.48,268.67
SRV-0336,26,5,2,3.17,0,1,5.15,388.83
SRV-0337,75,9,1,4.14,1,2,6.19,453.5
SRV-0338,64,6,4,4.81,0,4,6.02,720.04
SRV-0339,24,7,2,3.42,0,4,5.43,420.77
SRV-0340,105,7,1,2.98,1,2,3.8,352.41
SRV-0341,51,4,2,3.06,0,1,4.01,425.29
SRV-0342,66,5,4,3.09,0,1,4.32,631.39
SRV-0343,42,10,4,4.61,0,2,8.55,778.07
SRV-0344,34,11,3,4.95,0,3,8.49,804.83
SRV-0345,34,10,3,4.13,0,4,8.16,738.2
SRV-0346,57,4,4,3.89,1,2,5.41,571.26
SRV-0347,229,5,3,3.47,0,4,5.11,574.39
SRV-0348,61,5,2,3.42,0,3,4.96,400.88
SRV-0349,25,5,3,2.78,0,2,3.81,468.43
SRV-0350,78,9,1,4.88,1,3,5.83,453.11
SRV-0351,49,9,3,3.97,0,3,7.68,720.82
SRV-0352,125,5,2,2.82,0,1,3.77,316.01
SRV-0353,66,6,3,3.98,0,4,6.22,582.33
SRV-0354,50,2,2,1.72,0,3,2.72,356.16
SRV-0355,50,6,2,3.39,0,4,4.99,436.24
SRV-0356,47,8,3,4.65,0,3,5.76,745.22
SRV-0357,81,6,4,4.58,0,4,5.9,699.42
SRV-0358,91,6,5,4.72,0,4,6.78,885.43
SRV-0359,66,9,1,3.37,0,3,4.63,397.81
SRV-0360,136,4,4,3.03,0,4,4.83,547.2
SRV-0361,61,10,5,4.66,0,1,9.05,984.41
SRV-0362,30,11,1,2.91,0,4,5.63,450.39
SRV-0363,105,5,3,3.89,0,1,4.39,504.33
SRV-0364,49,9,3,2.76,0,4,5.74,583.76
SRV-0365,42,6,1,2.79,0,1,3.32,331.37
SRV-0366,93,8,3,3.4,0,1,6.73,546.5
SRV-0367,73,7,3,4.3,1,3,5.53,635.45
SRV-0368,31,9,3,4.47,0,3,6.18,707.45
SRV-0369,131,4,5,4.98,0,3,5.49,754.82
SRV-0370,105,4,5,4.08,1,1,5.5,633.21
SRV-0371,57,9,4,3.4,0,3,8.58,782.63
SRV-0372,41,6,4,3.82,1,3,5.68,722.84
SRV-0373,92,4,5,4.79,0,2,5.08,725.24
SRV-0374,39,6,2,3.27,1,4,6.36,464.24
SRV-0375,16,12,1,3.6,0,3,6.24,448.8
SRV-0376,126,10,4,5.69,1,1,10.29,915.92
SRV-0377,125,5,2,2.99,0,1,4.36,337.67
SRV-0378,32,2,3,3.4,0,2,2.36,349.49
SRV-0379,93,7,3,3.43,0,3,5.47,622.1
SRV-0380,28,3,2,2.42,0,3,2.45,388.6
SRV-0381,17,5,3,3.21,1,1,4.67,586.15
SRV-0382,492,8,2,4.27,1,2,6.81,686.37
SRV-0383,40,6,2,2.91,0,4,4.3,478.75
SRV-0384,10,6,4,3.95,0,2,6.23,642.54
SRV-0385,24,9,2,3.74,1,3,5.01,503.05
SRV-0386,50,7,3,4.51,0,3,4.33,651.13
SRV-0387,77,2,3,3.45,1,2,3.92,402.82
SRV-0388,224,12,2,4.66,0,2,8.3,641.68
SRV-0389,78,4,3,2.95,1,4,5.31,578.69
SRV-0390,10,5,5,4.33,0,2,6.46,728.72
SRV-0391,105,2,4,3.93,0,4,3.94,597.8
SRV-0392,111,5,3,2.82,0,4,5.54,475.99
SRV-0393,81,7,3,4.62,0,3,5.2,563.02
SRV-0394,18,8,2,3.75,1,4,6.51,491.48
SRV-0395,50,4,4,4.6,1,4,5.56,542.02
SRV-0396,78,13,1,4.4,1,2,7.46,514.0
SRV-0397,176,5,3,3.44,0,4,3.89,614.98
SRV-0398,38,9,4,4.43,1,2,7.2,846.92
SRV-0399,73,7,2,4.01,1,1,6.02,510.63
SRV-0400,77,3,2,2.28,0,2,4.05,301.42
SRV-0401,85,3,4,4.15,0,1,4.34,539.24
SRV-0402,27,10,1,1.97,0,3,6.09,366.33
SRV-0403,161,9,2,3.93,0,3,6.5,575.24
SRV-0404,22,4,2,2.79,0,2,4.43,336.64
SRV-0405,25,6,5,4.58,0,2,4.41,780.69
SRV-0406,83,14,4,5.53,1,3,10.48,1078.31
SRV-0407,40,2,3,3.69,1,2,4.06,501.49
SRV-0408,93,9,3,3.68,0,4,7.89,689.54
SRV-0409,50,7,1,2.08,1,2,4.88,325.08
SRV-0410,11,3,5,3.86,0,1,4.42,561.12
SRV-0411,47,8,5,3.98,0,1,8.02,798.71
SRV-0412,23,6,3,2.63,0,3,5.48,539.21
SRV-0413,14,9,5,4.95,0,2,8.82,917.04
SRV-0414,108,10,3,4.25,0,1,6.82,708.25
SRV-0415,64,5,2,3.01,1,2,5.38,451.09
SRV-0416,18,7,2,2.98,0,1,5.07,526.41
SRV-0417,66,10,2,3.48,0,4,6.0,592.31
SRV-0418,62,4,3,2.51,0,4,4.71,510.64
SRV-0419,45,8,2,3.44,0,1,5.76,485.78
SRV-0420,50,7,2,4.07,0,3,6.65,550.02
SRV-0421,65,4,3,3.16,1,3,5.7,531.18
SRV-0422,36,6,1,2.57,0,1,3.23,328.48
SRV-0423,39,4,2,2.64,1,2,1.93,449.04
SRV-0424,63,6,2,2.04,0,3,4.79,345.64
SRV-0425,40,4,4,3.3,0,1,6.34,520.81
SRV-0426,143,4,3,3.29,1,4,5.25,439.61
SRV-0427,48,8,2,4.21,1,2,6.23,548.49
SRV-0428,40,6,1,2.38,1,3,3.66,388.38
SRV-0429,118,7,3,2.75,1,1,5.99,640.38
SRV-0430,17,3,4,3.63,0,1,4.28,439.57
SRV-0431,30,10,3,3.74,0,2,7.1,669.23
SRV-0432,49,7,3,3.37,0,3,6.37,575.89
SRV-0433,47,3,2,2.55,0,4,2.98,315.97
SRV-0434,95,10,3,4.43,0,3,6.23,680.61
SRV-0435,92,4,3,3.16,0,1,4.33,531.87
SRV-0436,48,11,3,4.5,0,4,7.35,686.71
SRV-0437,272,6,2,4.31,0,3,4.6,485.18
SRV-0438,142,7,1,3.55,1,2,5.24,429.96
SRV-0439,35,5,3,3.57,0,3,4.69,509.24
SRV-0440,39,6,3,4.25,1,4,6.01,667.94
SRV-0441,386,6,4,4.01,0,3,6.21,791.38
SRV-0442,127,4,3,3.31,1,3,5.42,525.36
SRV-0443,65,8,5,5.33,1,1,8.74,940.03
SRV-0444,89,7,4,5.58,0,1,6.54,767.58
SRV-0445,98,2,3,2.94,0,4,3.46,365.81
SRV-0446,72,3,5,3.44,0,2,4.32,620.51
SRV-0447,63,4,4,4.67,1,4,4.47,614.03
SRV-0448,91,4,1,3.77,1,4,3.52,312.6
SRV-0449,55,10,3,3.74,0,1,7.83,708.58
SRV-0450,15,3,4,3.21,1,3,4.17,617.39
SRV-0451,176,6,4,3.23,0,4,6.19,660.29
SRV-0452,146,8,1,2.95,0,3,3.88,458.28
SRV-0453,41,8,4,4.21,0,2,6.82,664.04
SRV-0454,28,5,2,2.66,0,2,4.43,379.26
SRV-0455,23,7,2,3.17,1,1,4.58,395.92
SRV-0456,38,4,2,2.28,0,1,2.75,297.06
SRV-0457,55,5,3,3.14,0,4,4.22,503.54
SRV-0458,64,7,1,3.21,0,1,4.64,252.34
SRV-0459,57,10,3,4.14,0,2,7.21,746.7
SRV-0460,66,4,3,3.89,0,3,5.85,493.7
SRV-0461,24,3,4,3.09,1,1,3.57,474.44
SRV-0462,34,5,2,1.74,0,4,4.96,295.8
SRV-0463,348,4,5,4.9,0,4,6.19,700.32
SRV-0464,79,4,4,3.36,0,1,5.22,485.35
SRV-0465,92,5,3,4.46,1,2,5.25,509.57
SRV-0466,49,7,4,4.33,1,1,6.85,711.48
SRV-0467,63,5,2,3.57,0,2,3.69,452.3
SRV-0468,100,4,3,3.85,1,4,3.92,572.98
SRV-0469,52,10,2,3.93,0,2,5.73,556.52
SRV-0470,84,7,1,3.05,0,3,4.53,366.95
SRV-0471,62,8,3,3.45,0,3,6.65,696.27
SRV-0472,37,8,2,2.81,0,4,5.64,389.85
SRV-0473,63,7,4,4.41,1,1,6.1,826.36
SRV-0474,84,8,4,5.62,1,3,7.1,857.34
SRV-0475,149,6,3,3.66,0,4,5.78,586.01
SRV-0476,92,3,2,3.47,0,2,1.8,312.69
SRV-0477,287,7,4,4.41,1,1,7.21,773.19
